Lat,Lon,water_depth
28.7160703833235,-82.741746316151,-30.1036066501939
28.7160701154141,-82.7417463237579,-30.005815902115
28.7160826924373,-82.7417477738727,-29.9367209480842
28.7161146075641,-82.7417513830423,-29.937713891979
28.7161849634324,-82.7417593017512,-30.0072569518505
28.7161981498735,-82.7417607277443,-30.1660440443043
28.716217049743,-82.7417628901987,-30.0843637397513
28.7163637904882,-82.7417793707215,-30.1744541946118
28.7163954231627,-82.7417829119802,-30.1247045758129
28.716459283221,-82.7417899637784,-30.2535113064479
28.7165664461822,-82.7418019524559,-29.9942050054289
28.7165667139611,-82.7418019448529,-30.0919488093564
28.7165983273867,-82.7418054599799,-30.0568116829263
28.716686701071,-82.741815288603,-29.9204810549334
28.7167250161597,-82.7418194808716,-30.0294715852285
28.7168011221426,-82.741827869942,-30.0630453229318
28.7168264199873,-82.741830665615,-30.0501256718229
28.7168327793531,-82.7418313633086,-30.0598730236615
28.7168514868432,-82.7418334663247,-29.9545171239942
28.7169530101379,-82.7418446233601,-30.0368546510535
28.7170412735748,-82.741854391905,-29.9068430154082
28.7170479589677,-82.7418550784679,-30.0370210900737
28.7170668986896,-82.7418571701151,-30.0189887744595
28.7170856241973,-82.7418592676474,-29.9227955560888
28.7171679768691,-82.7418683209651,-29.9472791627345
28.7172064997057,-82.7418724848494,-30.1445492332923
28.7172379148432,-82.7418759744685,-30.0571872425084
28.7172702549426,-82.7418794380083,-30.3068457731242
28.7172888630057,-82.7418815390251,-30.1653327742148
28.7173078703303,-82.7418836288986,-30.1691039694551
28.7173837270579,-82.741891995483,-30.1166045502393
28.7174470686796,-82.7418989678982,-30.1115473654569
28.7174975919627,-82.7419045530765,-30.0469206586118
28.7175039377212,-82.7419052507163,-30.0491284651058
28.7175354021989,-82.7419087463648,-29.9643284954438
28.7175419351312,-82.7419094388541,-30.0346255094314
28.7175486864151,-82.7419100110096,-30.1898619035426
28.7175861468406,-82.741914260652,-29.9737301662679
28.7176177570768,-82.741917792708,-29.9329711002245
28.7176306387958,-82.7419191989086,-30.0031215910054
28.7176562094083,-82.7419220175334,-30.0709718091688
28.7176746483616,-82.7419241528693,-29.8508739864115
28.7177324473462,-82.7419304899854,-30.0900511266379
28.717744931873,-82.7419319087018,-30.0105274161429
28.7177641287518,-82.7419340234217,-30.0622159786422
28.7177644265718,-82.7419340149648,-30.1709276876334
28.7178467916328,-82.7419432031326,-30.0807789092038
28.7178533036207,-82.7419439049436,-30.1371348770847
28.7178724930857,-82.741946020302,-30.178538361666
28.7178719396723,-82.7419460360165,-29.9765283349362
28.7178972836087,-82.741948862898,-29.9422234034578
28.7179102500881,-82.7419502679475,-30.031547100429
28.7179168199881,-82.7419509679829,-30.1076268035348
28.717935642405,-82.7419530931528,-30.011117777561
28.7179993819525,-82.7419601464689,-30.0452733414935
28.7180183669093,-82.7419622657655,-30.0023505673698
28.7180375154337,-82.7419643800263,-30.0177852970699
28.718120910315,-82.7419735244125,-30.2218395364845
28.7181202720122,-82.7419735425378,-29.9888419781318
28.7181396885104,-82.7419756466311,-30.094432600779
28.7182100152941,-82.7419833796727,-30.1560719407079
28.718260940173,-82.7419890042421,-30.1072711662731
28.7183625835897,-82.7420002412175,-29.9051957010471
28.7184201868653,-82.7420065376342,-29.9323480223178
28.7184395553945,-82.7420086296469,-29.9998881233964
28.7184463250023,-82.7420093178945,-30.1364079519553
28.7185161093809,-82.7420170136215,-29.9199163077694
28.7185613498855,-82.7420218793014,-30.0775667791823
28.7186120523068,-82.742027460919,-29.8839156898412
28.7186378398696,-82.742030235919,-29.9439560770969
28.7186761439081,-82.7420344055345,-29.8914566570482
28.7186825612414,-82.7420350990522,-29.8944468691969
28.7186952151708,-82.7420364906848,-29.8344406233076
28.7187147321764,-82.7420385620927,-29.9387139584669
28.7188173488027,-82.7420496308889,-29.9396172813567
28.7188297684296,-82.742051135654,-29.8398065035289
28.7188553630613,-82.7420538667614,-29.7999905897677
28.7188680891251,-82.7420552336715,-29.7531572100021
28.7188745536821,-82.7420559140528,-29.7666615315535
28.7188876042521,-82.742057270995,-29.8377366835258
28.7189845798679,-82.7420674593562,-30.0312241786794
28.7190677417297,-82.7420762975965,-29.8659388494466
28.7191127780267,-82.7420810449754,-29.8673144608368
28.7191383356174,-82.7420837617528,-29.8027574592844
28.7192158210686,-82.7420918859656,-29.9048599719847
28.7192288979778,-82.742093235163,-29.9811715514187
28.7192288256983,-82.7420932372157,-29.9547874103449
28.7194861765974,-82.7421203587739,-29.9780917167215
28.7195443826229,-82.7421264657854,-30.1054886947556
28.7195636888378,-82.7421285059401,-30.1143000049219
28.7196147972332,-82.7421339617813,-30.0048172695708
28.719679303336,-82.7421407747227,-30.1035611300789
28.7197564061473,-82.7421489770833,-30.1253333437541
28.7198073601212,-82.742154470422,-29.9856227236244
28.7198267432596,-82.7421565253811,-30.0356710790775
28.7198396887482,-82.7421578955459,-30.0782126079793
28.7198526423851,-82.7421592661766,-30.1242436660702
28.7199038224646,-82.7421647737584,-30.0823750060254
28.7199937420366,-82.7421744307738,-30.1598345868475
28.7200064089625,-82.742175818613,-30.1077491316237
28.7200699770544,-82.7421827633653,-29.9411009963997
28.7201149409808,-82.7421875156834,-29.927582448619
28.7201338586202,-82.7421896339703,-29.8444113057871
28.7201785151289,-82.7421945702952,-29.8410355810592
28.7201910223598,-82.7421959896747,-29.7494116121281
28.7202038448817,-82.7421974009028,-29.7734143948224
28.7202040369067,-82.7421973954489,-29.8435094054594
28.7202101114143,-82.7421981109251,-29.7327833582958
28.7202742962357,-82.7422051784548,-29.8884379828217
28.7202805622077,-82.7422058905805,-29.8489649066526
28.720286771444,-82.7422066044986,-29.7888974912987
28.7202999528533,-82.7422080112119,-29.9475750474928
28.720363589992,-82.7422151191483,-29.9200372138166
28.7203637899432,-82.7422151134694,-29.9930257028268
28.7203951115145,-82.7422186878807,-29.8010745689666
28.7203953897618,-82.742218679978,-29.9026436249976
